id,name,category,subcategory,rarity,professions,region,short_uses,file_name
58000,Dusk Pike 58000,Trophy,Horn,Common,Leatherworking,Frostbriar trails,Monster proof used for bounties and turn-ins.,item_58000.png
58001,Glimmering Compass 58001,Material,Wood Plank,Uncommon,Herbalism,Bramblefold hedges,Core trade material used in many early recipes.,item_58001.png
58002,Bramble Brew 58002,Trinket,Charm,Common,Jewelry,Duskhollow bogs,Minor passive charm with low-power utility.,item_58002.png
58003,Pilgrim's Shard 58003,Quest,Quest Item,Uncommon,Tailoring,Frost Caverns,Objective item for contracts and errands.,item_58003.png
58004,Glimmering Needle 58004,Curio,Trinket Bit,Common,Engineering,Ashen Ridge terraces,Flavor drop that feeds quests vendors and collectors.,item_58004.png
58005,Warden's Stitch 58005,Key,Bone Key,Common,Herbalism,Emberford markets,Basic key used for side doors and caches.,item_58005.png
58006,Pilgrim's Charm 58006,Quest,Quest Item,Common,Tailoring,Duskhollow bogs,Objective item for contracts and errands.,item_58006.png
58007,Pilgrim's Skein 58007,Quest,Quest Item,Common,Engineering,Frost Caverns,Objective item for contracts and errands.,item_58007.png
58008,Ashen Knife 58008,Curio,Trinket Bit,Uncommon,None,Emberford outskirts,Flavor drop that feeds quests vendors and collectors.,item_58008.png
58009,Glimmering Pike 58009,Trinket,Stone,Uncommon,Smithing,Saltmarrow strand,Minor passive charm with low-power utility.,item_58009.png
58010,Market Stitch 58010,Map,Trail Map,Common,Leatherworking,Ashen Ridge terraces,Simple navigation aid that points to micro-locations.,item_58010.png
58011,Hearthworn Hook 58011,Ingredient,Meat,Common,Herbalism,Saltmarrow strand,Common crafting input used across cooking and alchemy.,item_58011.png
58012,Hearthworn Skein 58012,Trinket,Charm,Common,Engineering,Duskhollow bogs,Minor passive charm with low-power utility.,item_58012.png
58013,Rivercut Knife 58013,World Object,Totem,Common,Leatherworking,Glimmerdeep shore,Placeable/interactive world piece for events.,item_58013.png
58014,Oathforged Brew 58014,World Object,Marker,Rare,Herbalism,Glimmerdeep canals,Placeable/interactive world piece for events.,item_58014.png
58015,Glimmering Balm 58015,Profession Tool,Jeweler Kit,Common,Cooking,Frost Caverns,Starter kit enabling profession actions.,item_58015.png
58016,Bramble Ration 58016,Map,Trail Map,Common,None,Glimmerdeep canals,Simple navigation aid that points to micro-locations.,item_58016.png
58017,Warden's Pouch 58017,Trophy,Scale,Uncommon,Fishing,Saltmarrow strand,Monster proof used for bounties and turn-ins.,item_58017.png
58018,Market Fillet 58018,Quest,Quest Item,Common,None,Glimmerdeep canals,Objective item for contracts and errands.,item_58018.png
58019,Stormkissed Ledger 58019,Toy,Spin Top,Common,Enchanting,Frostbriar trails,Harmless fun item with small social value.,item_58019.png
58020,Dusk Ration 58020,Key,Iron Key,Uncommon,Engineering,Bramblefold hedges,Basic key used for side doors and caches.,item_58020.png
58021,Warden's Compass 58021,Map,Ruin Sketch,Uncommon,Smithing,Saltmarrow tidepools,Simple navigation aid that points to micro-locations.,item_58021.png
58022,Oathforged Knot 58022,Document,Notice,Common,Enchanting,Glimmerdeep canals,Readable lore drop that hints at routes and secrets.,item_58022.png
58023,Rivercut Seal 58023,Alchemy,Distillate,Common,Alchemy,Saltmarrow strand,Reliable reagent for low to mid-tier mixtures.,item_58023.png
58024,Mireborn Band 58024,Trophy,Horn,Common,Cooking,Frostbriar trails,Monster proof used for bounties and turn-ins.,item_58024.png
58025,Rivercut Brew 58025,Quest,Quest Item,Rare,Tailoring,Bramblefold hedges,Objective item for contracts and errands.,item_58025.png
58026,Warden's Token 58026,Document,Prayer Slip,Common,Engineering,Frostbriar trails,Readable lore drop that hints at routes and secrets.,item_58026.png
58027,Bramble Band 58027,Quest,Quest Item,Common,Herbalism,Ashen Ridge terraces,Objective item for contracts and errands.,item_58027.png
58028,Lanternlit Spice 58028,Map,Cave Map,Common,Mining,Frostbriar trails,Simple navigation aid that points to micro-locations.,item_58028.png
58029,Stormkissed Stitch 58029,World Object,Cache,Common,Enchanting,Duskhollow bogs,Placeable/interactive world piece for events.,item_58029.png
58030,Frostbound Compass Boots 58030,Gear,Leather Boots,Uncommon,Smithing,Duskhollow bogs,Baseline leveling piece with steady stats and simple flavor.,item_58030.png
58031,Stormkissed Stitch 58031,Ingredient,Berry,Common,Herbalism,Bramblefold hedges,Common crafting input used across cooking and alchemy.,item_58031.png
58032,Pilgrim's Lantern 58032,Consumable,Salve,Common,Leatherworking,Glimmerdeep shore,Everyday field supply that reduces downtime.,item_58032.png
58033,Market Talisman 58033,Alchemy,Catalyst,Rare,Engineering,Deepwatch,Reliable reagent for low to mid-tier mixtures.,item_58033.png
58034,Market Knife 58034,Curio,Token,Common,Alchemy,Saltmarrow tidepools,Flavor drop that feeds quests vendors and collectors.,item_58034.png
58035,Rivercut Carving 58035,Trinket,Stone,Uncommon,Mining,Bramblefold hedges,Minor passive charm with low-power utility.,item_58035.png
58036,Oathforged Carving 58036,Profession Tool,Alchemy Kit,Common,Smithing,Glimmerdeep canals,Starter kit enabling profession actions.,item_58036.png
58037,Ashen Cog 58037,Key,Copper Key,Common,Herbalism,Glimmerdeep shore,Basic key used for side doors and caches.,item_58037.png
58038,Frostbound Ration 58038,Key,Bone Key,Common,Leatherworking,Duskhollow bogs,Basic key used for side doors and caches.,item_58038.png
58039,Stormkissed Knife 58039,Ingredient,Herb,Common,Tailoring,Ashen Ridge terraces,Common crafting input used across cooking and alchemy.,item_58039.png
58040,Bramble Ledger 58040,Toy,Whistle,Uncommon,Fishing,Frostbriar trails,Harmless fun item with small social value.,item_58040.png
58041,Glimmering Knot 58041,Trinket,Charm,Common,Enchanting,Glimmerdeep canals,Minor passive charm with low-power utility.,item_58041.png
58042,Glimmering Spice 58042,Tool,Lockpick,Uncommon,Enchanting,Ashen Ridge terraces,Utility item for travel salvage and exploration.,item_58042.png
58043,Glimmering Charm 58043,Consumable,Bandage,Uncommon,Leatherworking,Ashen Ridge terraces,Everyday field supply that reduces downtime.,item_58043.png
58044,Rivercut Lantern 58044,Trophy,Claw,Common,Engineering,Frostbriar trails,Monster proof used for bounties and turn-ins.,item_58044.png
58045,Stormkissed Knife 58045,Ingredient,Spice,Uncommon,Fishing,Frostbriar trails,Common crafting input used across cooking and alchemy.,item_58045.png
58046,Ashen Tonic 58046,Consumable,Bandage,Common,Herbalism,Deepwatch,Everyday field supply that reduces downtime.,item_58046.png
58047,Pilgrim's Spice 58047,Trophy,Fang,Uncommon,Tailoring,Duskhollow bogs,Monster proof used for bounties and turn-ins.,item_58047.png
58048,Mireborn Buckle 58048,Material,Leather,Uncommon,Leatherworking,Saltmarrow tidepools,Core trade material used in many early recipes.,item_58048.png
58049,Rivercut Pike 58049,Key,Copper Key,Common,None,Glimmerdeep shore,Basic key used for side doors and caches.,item_58049.png
58050,Saltstained Needle Amulet 58050,Gear,Amulet,Uncommon,Alchemy,Glimmerdeep shore,Baseline leveling piece with steady stats and simple flavor.,item_58050.png
58051,Cinder Token 58051,World Object,Totem,Common,Leatherworking,Duskhollow bogs,Placeable/interactive world piece for events.,item_58051.png
58052,Lanternlit Skein 58052,Key,Salt Key,Uncommon,None,Saltmarrow strand,Basic key used for side doors and caches.,item_58052.png
58053,Stormkissed Spice 58053,Profession Tool,Tailor Kit,Common,Enchanting,Emberford markets,Starter kit enabling profession actions.,item_58053.png
58054,Warden's Charm 58054,Trophy,Horn,Common,Tailoring,Frost Caverns,Monster proof used for bounties and turn-ins.,item_58054.png
58055,Saltstained Talisman 58055,Tool,Chisel,Uncommon,Leatherworking,Duskhollow bogs,Utility item for travel salvage and exploration.,item_58055.png
58056,Rivercut Rivet Trinket 58056,Gear,Trinket,Rare,Tailoring,Frost Caverns,Baseline leveling piece with steady stats and simple flavor.,item_58056.png
58057,Warden's Pike 58057,Map,Trail Map,Rare,Alchemy,Frost Caverns,Simple navigation aid that points to micro-locations.,item_58057.png
58058,Rivercut Cog Robe 58058,Gear,Cloth Robe,Common,Mining,Emberford outskirts,Baseline leveling piece with steady stats and simple flavor.,item_58058.png
58059,Glimmering Hook 58059,Profession Tool,Fishing Kit,Common,Mining,Duskhollow bogs,Starter kit enabling profession actions.,item_58059.png
58060,Saltstained Talisman 58060,Curio,Charm,Uncommon,Mining,Frostbriar trails,Flavor drop that feeds quests vendors and collectors.,item_58060.png
58061,Rivercut Pouch 58061,Tool,Lockpick,Common,Engineering,Frostbriar trails,Utility item for travel salvage and exploration.,item_58061.png
58062,Glimmering Tonic 58062,Document,Letter,Uncommon,Enchanting,Ashen Ridge terraces,Readable lore drop that hints at routes and secrets.,item_58062.png
58063,Market Balm 58063,Profession Tool,Tailor Kit,Common,Engineering,Saltmarrow strand,Starter kit enabling profession actions.,item_58063.png
58064,Oathforged Stitch 58064,Material,Cloth Bolt,Common,Jewelry,Glimmerdeep canals,Core trade material used in many early recipes.,item_58064.png
58065,Cinder Stitch 58065,Consumable,Potion,Rare,Fishing,Emberford markets,Everyday field supply that reduces downtime.,item_58065.png
58066,Ashen Cog 58066,Ingredient,Grain,Common,Enchanting,Glimmerdeep shore,Common crafting input used across cooking and alchemy.,item_58066.png
58067,Mireborn Ration 58067,Map,Cave Map,Uncommon,Smithing,Frost Caverns,Simple navigation aid that points to micro-locations.,item_58067.png
58068,Frostbound Compass 58068,Alchemy,Distillate,Common,Tailoring,Saltmarrow tidepools,Reliable reagent for low to mid-tier mixtures.,item_58068.png
58069,Market Band Sword 58069,Gear,Sword,Common,Jewelry,Emberford outskirts,Baseline leveling piece with steady stats and simple flavor.,item_58069.png
58070,Hearthworn Fillet 58070,Quest,Quest Item,Uncommon,Tailoring,Ashen Ridge terraces,Objective item for contracts and errands.,item_58070.png
58071,Cinder Skein 58071,Material,Ore,Common,Tailoring,Frostbriar trails,Core trade material used in many early recipes.,item_58071.png
58072,Warden's Carving 58072,Document,Notice,Uncommon,Fishing,Emberford outskirts,Readable lore drop that hints at routes and secrets.,item_58072.png
58073,Lanternlit Lantern 58073,Quest,Quest Item,Common,Fishing,Ashen Ridge terraces,Objective item for contracts and errands.,item_58073.png
58074,Frostbound Tonic 58074,Quest,Quest Item,Common,Tailoring,Emberford outskirts,Objective item for contracts and errands.,item_58074.png
58075,Dusk Stitch 58075,Document,Ledger,Uncommon,Alchemy,Glimmerdeep shore,Readable lore drop that hints at routes and secrets.,item_58075.png
58076,Lanternlit Carving 58076,Toy,Dice,Common,Jewelry,Deepwatch,Harmless fun item with small social value.,item_58076.png
58077,Pilgrim's Talisman 58077,Trophy,Fang,Uncommon,Alchemy,Saltmarrow tidepools,Monster proof used for bounties and turn-ins.,item_58077.png
58078,Stormkissed Ration 58078,Key,Iron Key,Common,Herbalism,Emberford outskirts,Basic key used for side doors and caches.,item_58078.png
