id,name,category,subcategory,rarity,professions,region,short_uses,file_name
66000,Frosted Longbow,Map,Map,Uncommon,Mining,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,map_frosted_longbow_66000.png
66001,Ashen Buckler,Gear,Polearm,Uncommon,Herbalism,Emberford_Marketwalk,Uncommon upgrade that rounds out leveling builds.,gear_ashen_buckler_66001.png
66002,Marketfresh Scroll,Gear,Dagger,Uncommon,Smithing,Frostbriar_Reach,Uncommon upgrade that rounds out leveling builds.,gear_marketfresh_scroll_66002.png
66003,Mire-slick Scroll,Gear,Shield,Uncommon,Leatherworking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,gear_mire_slick_scroll_66003.png
66004,Briarbound Ration (I),Consumable,Bandage,Uncommon,Enchanting,Emberford_Marketwalk,Common drop from humanoids and beasts; fuels crafting loops.,consumable_briarbound_ration_i_66004.png
66005,Ashen Vial (IV),Gear,Bow,Rare,Leatherworking,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_ashen_vial_iv_66005.png
66006,Gravemark Ingot,Material,Thread,Uncommon,Alchemy,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,material_gravemark_ingot_66006.png
66007,Sun-bleached Staff (III),Gear,Staff,Common,Enchanting,Saltmarrow_Strand,Common drop from humanoids and beasts; fuels crafting loops.,gear_sun_bleached_staff_iii_66007.png
66008,Marketfresh Key,Quest,Quest Item,Common,Leatherworking,Emberford_Marketwalk,Baseline vendor stock; reliable in the first tiers.,quest_marketfresh_key_66008.png
66009,Stormbit Ring,Profession Tool,Kit,Uncommon,Woodworking,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,profession tool_stormbit_ring_66009.png
66010,Emberlit Hatchet,Gear,Leather,Common,Cooking,Glimmerdeep_Mire,Common drop from humanoids and beasts; fuels crafting loops.,gear_emberlit_hatchet_66010.png
66011,Briarbound Cloak (IV),Consumable,Food,Common,Smithing,Saltmarrow_Strand,Baseline vendor stock; reliable in the first tiers.,consumable_briarbound_cloak_iv_66011.png
66012,Gravemark Cuirass,Gear,Cloth,Uncommon,Tailoring,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,gear_gravemark_cuirass_66012.png
66013,Glimmering Boots,Trinket,Charm,Rare,Leatherworking,Emberford_Marketwalk,Rare dungeon-worthy piece for midgame milestones.,trinket_glimmering_boots_66013.png
66014,Saltworn Thread (II),Gear,Mail,Rare,Enchanting,Saltmarrow_Strand,Uncommon upgrade that rounds out leveling builds.,gear_saltworn_thread_ii_66014.png
