id,name,category,subcategory,rarity,professions,region,short_uses,file_name
45000,Glimmerdeep Vial,Material,Ore,Common,Skinning,Greatwood,Loot filler: enables a recipe chain.,material_glimmerdeep_vial.png
45001,Hollowroot Ingot,Curio,Totem,Uncommon,Enchanting,Saltmarrow,Vendor staple: gates a shortcut.,curio_hollowroot_ingot.png
45002,Storm-bit Trophy Fang,Material,Pigment,Common,Smithing,Frostbriar,Utility piece: gates a shortcut.,material_storm_bit_trophy_fang.png
45003,Mire-touched Hilt,Trinket,Charm,Common,Jewelry,Emberford,Loot filler: gates a shortcut.,trinket_mire_touched_hilt.png
45004,Frostbriar Hood,Gear,Staff,Common,Jewelry,Greatwood,Field use: feeds a rumor.,gear_frostbriar_hood.png
45005,Storm-bit Trophy Fang,Gear,Pendant,Common,Tailoring,Emberford,Vendor staple: fills a gear gap.,gear_storm_bit_trophy_fang.png
45006,Frostbriar Ore,Gear,Cloak,Common,Smithing,Saltmarrow,Vendor staple: gates a shortcut.,gear_frostbriar_ore.png
45007,Greatwood Coat,Tool,Lockpicks,Common,Smithing,Emberford,Vendor staple: enables a recipe chain.,tool_greatwood_coat.png
45008,Briarbound Cloak,Gear,Dagger,Rare,Smithing,Ashen Fields,Loot filler: fills a gear gap.,gear_briarbound_cloak.png
45009,Saltglass Charm,Curio,Mask,Rare,Jewelry,Frostbriar,Vendor staple: feeds a rumor.,curio_saltglass_charm.png
45010,Cinder-scarred Nail,Material,Resin,Common,Alchemy,Ashen Fields,Craft input: supports leveling.,material_cinder_scarred_nail.png
45011,Glimmerdeep Pommel,Material,Pigment,Common,Smithing,Hollowroot,Loot filler: enables a recipe chain.,material_glimmerdeep_pommel.png
45012,Cinder-scarred Bandage Roll,Ingredient,Herb,Common,Herbalism,Saltmarrow,Utility piece: keeps you moving.,ingredient_cinder_scarred_bandage_roll.png
45013,Greatwood Vial,Gear,Pendant,Uncommon,Jewelry,Emberford,Craft input: keeps you moving.,gear_greatwood_vial.png
45014,River-smooth Pommel,Ingredient,Herb,Common,Fishing,Frostbriar,Vendor staple: supports leveling.,ingredient_river_smooth_pommel.png
45015,Silt-grit Tally,Material,Leather,Rare,Alchemy,Emberford,Loot filler: feeds a rumor.,material_silt_grit_tally.png
45016,Cinder-scarred Bottle,Gear,Chest,Uncommon,Tailoring,Frostbriar,Field use: fills a gear gap.,gear_cinder_scarred_bottle.png
45017,Harbor-wet Gloves,Ingredient,Oil,Common,Herbalism,Emberford,Craft input: feeds a rumor.,ingredient_harbor_wet_gloves.png
45018,Cinder-scarred Spool,Material,Leather,Common,Mining,Frostbriar,Craft input: fills a gear gap.,material_cinder_scarred_spool.png
45019,Sun-bleached Cloak,Gear,Staff,Uncommon,Tailoring,Ashen Fields,Quest hook: supports leveling.,gear_sun_bleached_cloak.png
45020,Iron-banded Hood,Consumable,Potion,Common,Cooking,Greatwood,Craft input: keeps you moving.,consumable_iron_banded_hood.png
45021,Tide-taken Buckler,Material,Pigment,Common,Tailoring,Emberford,Vendor staple: fills a gear gap.,material_tide_taken_buckler.png
45022,Iron-banded Tea,Gear,Shield,Common,Smithing,Saltmarrow,Loot filler: fills a gear gap.,gear_iron_banded_tea.png
45023,Ash-dusted Pommel,Consumable,Food,Common,Alchemy,Marketwalk,Vendor staple: enables a recipe chain.,consumable_ash_dusted_pommel.png
45024,Harbor-wet Leather Strip,Material,Stone,Common,Smithing,Glimmerdeep,Vendor staple: feeds a rumor.,material_harbor_wet_leather_strip.png
45025,Glimmerdeep Belt,Gear,Boots,Uncommon,Woodworking,Greatwood,Quest hook: keeps you moving.,gear_glimmerdeep_belt.png
45026,Tide-taken Charm,Gear,Sword,Common,Smithing,Glimmerdeep,Utility piece: fills a gear gap.,gear_tide_taken_charm.png
